prd_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt
1,CO-BK-10-BK-M18B-44,Mountain-100 Black 44,1079.99,M,2021-06-01,
2,CO-BK-10-BK-M18B-48,Mountain-100 Black 48,1079.99,M,2021-06-01,
3,CO-BK-10-BK-M18B-52,Mountain-100 Black 52,1079.99,M,2021-06-01,
4,CO-BK-10-BK-R15-44,Road-150 Red 44,3199.99,R,2021-07-01,
5,CO-BK-10-BK-R15-48,Road-150 Red 48,3199.99,R,2021-07-01,
6,CO-BK-10-BK-R15-52,Road-150 Red 52,3199.99,R,2021-07-01,
7,CO-BK-10-BK-T13-44,Touring-1000 Blue 44,2384.07,T,2021-08-01,
8,CO-BK-10-BK-T13-50,Touring-1000 Blue 50,2384.07,T,2021-08-01,
9,CO-HE-10-HE-A45J,Sport-100 Helmet Blue,34.99,S,2021-06-01,
10,CO-HE-10-HE-A45R,Sport-100 Helmet Red,34.99,S,2021-06-01,
11,CO-HE-10-HE-A45Y,Sport-100 Helmet Black,34.99,S,2021-06-01,
12,CO-WS-10-WS-W03R-S,Women Socks M,9.50,S,2021-06-01,
13,CO-WS-10-WS-W03R-M,Women Socks L,9.50,S,2021-06-01,
14,CO-WS-10-WS-M62B-S,Mountain Bike Socks M,9.50,S,2021-06-01,
15,CO-WS-10-WS-M62B-L,Mountain Bike Socks L,9.50,S,2021-06-01,
