sls_ord_num,sls_prd_key,sls_cust_id,sls_order_dt,sls_ship_dt,sls_due_dt,sls_sales,sls_quantity,sls_price,sls_discount
SO43659,BK-M18B-44,1,20230101,20230108,20230115,2159.98,2,1079.99,0
SO43660,BK-R15-44,2,20230103,20230110,20230117,3199.99,1,3199.99,0
SO43661,BK-T13-44,3,20230105,20230112,20230119,4768.14,2,2384.07,0
SO43662,HE-A45J,4,20230107,20230114,20230121,69.98,2,34.99,0
SO43663,BK-M18B-48,5,20230110,20230117,20230124,1079.99,1,1079.99,0
SO43664,BK-M18B-52,6,20230112,20230119,20230126,2159.98,2,1079.99,0
SO43665,BK-R15-48,7,20230115,20230122,20230129,6399.98,2,3199.99,0
SO43666,BK-R15-52,8,20230118,20230125,20230201,3199.99,1,3199.99,50
SO43667,BK-T13-50,9,20230120,20230127,20230203,2384.07,1,2384.07,0
SO43668,HE-A45R,10,20230122,20230129,20230205,104.97,3,34.99,0
SO43669,HE-A45Y,11,20230125,20230201,20230208,34.99,1,34.99,0
SO43670,WS-W03R-S,12,20230128,20230204,20230211,9.50,1,9.50,0
SO43671,WS-W03R-M,13,20230201,20230208,20230215,19.00,2,9.50,0
SO43672,WS-M62B-S,14,20230203,20230210,20230217,9.50,1,9.50,0
SO43673,WS-M62B-L,15,20230205,20230212,20230219,19.00,2,9.50,0
SO43674,BK-M18B-44,3,20230208,20230215,20230222,1079.99,1,1079.99,100
SO43675,BK-R15-44,7,20230210,20230217,20230224,6399.98,2,3199.99,0
SO43676,HE-A45J,11,20230212,20230219,20230226,34.99,1,34.99,0
SO43677,BK-T13-44,2,20230215,20230222,20230301,2384.07,1,2384.07,0
SO43678,BK-M18B-52,9,20230218,20230225,20230304,2159.98,2,1079.99,0
